user_id,name,age,email
1,Oleksii Koval,22,oleksii.koval@example.com
2,Mariia Shevchenko,34,mariia.shevchenko@example.com
3,Andriy Bondar,19,andriy.bondar@example.com
4,Kateryna Lysenko,,kateryna.lysenko@example.com
5,Ivan Petrenko,25,ivan.petrenko@example.com
6,Oksana Melnyk,45,oksana.melnyk@example.com
7,Dmytro Tkachenko,18,dmytro.tkachenko@example.com
8,Svitlana Kravchuk,,svitlana.kravchuk@example.com
9,Taras Savchenko,23,taras.savchenko@example.com
10,Yuliia Hrytsenko,30,yuliia.hrytsenko@example.com
11,Mykola Kovalenko,21,mykola.kovalenko@example.com
12,Anna Polischuk,27,
13,Serhii Moroz,24,serhii.moroz@example.com
14,Nataliia Marchenko,50,nataliia.marchenko@example.com
15,Pavlo Zhuk,20,pavlo.zhuk@example.com
16,Olena Danylko,19,olena.danylko@example.com
17,Viktor Bilyk,40,viktor.bilyk@example.com
18,Halyna Romanenko,22,halyna.romanenko@example.com
19,Bohdan Kulyk,25,bohdan.kulyk@example.com
20,Iryna Sokolova,18,iryna.sokolova@example.com
21,Vasyl Yaremchuk,33,vasyl.yaremchuk@example.com
22,Larysa Hnatyuk,24,larysa.hnatyuk@example.com
23,Maksym Voronov,21,maksym.voronov@example.com
24,Tetiana Chorna,28,tetiana.chorna@example.com
25,Roman Havrylyuk,23,roman.havrylyuk@example.com
26,Oleh Shcherbak,26,oleh.shcherbak@example.com
27,Khrystyna Pavlenko,19,khrystyna.pavlenko@example.com
28,Sofiia Kravets,22,sofiia.kravets@example.com
29,Artem Tyshchenko,35,artem.tyshchenko@example.com
30,Liudmyla Bilous,20,liudmyla.bilous@example.com
